,user,session,feature,param,acc
178,11,20140618,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.6091040372848511
179,11,20140625,de_LDS_lr10_0.001,{'lr10:0.001'},0.6076589822769165
180,11,20140625,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.6047688126564026
181,11,20140625,de_LDS_lr19_0.09,{'lr19:0.09'},0.6033236980438232
182,11,20140625,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.5982658863067627
184,11,20140618,de_LDS_lr17_0.05,{'lr17:0.05'},0.589595377445221
187,11,20140625,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.5657514333724976
189,11,20140625,de_LDS_lr15_0.01,{'lr15:0.01'},0.5585260391235352
191,11,20140625,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.5484104156494141
194,11,20140625,de_LDS_lr14_0.009,{'lr14:0.009'},0.5296242833137512
195,11,20140625,de_LDS_lr13_0.007,{'lr13:0.007'},0.5289017558097839
196,11,20140625,de_LDS_lr16_0.03,{'lr16:0.03'},0.5043352842330933
199,11,20140625,de_LDS_lr18_0.07,{'lr18:0.07'},0.463150292634964
26,10,20131211,de_LDS_lr11_0.003,{'lr11:0.003'},0.9248554706573486
28,10,20131211,de_LDS_lr12_0.005,{'lr12:0.005'},0.9053468108177185
34,10,20131211,de_LDS_lr19_0.09,{'lr19:0.09'},0.8829479813575745
35,10,20131211,de_LDS_lr13_0.007,{'lr13:0.007'},0.8829479813575745
39,10,20131211,de_LDS_lr15_0.01,{'lr15:0.01'},0.8721098303794861
42,10,20131211,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.8706647157669067
45,10,20131211,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.8670520186424255
47,10,20131211,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.8518785834312439
53,10,20131211,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.8460982441902161
58,10,20131211,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.8330925107002258
